pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
50,c,18,2,74,2,,,,,212.43822500000533,,212.42343670000264,212.43822500000533,213.43869429999904,213.43869429999904,213.43869429999904,213.43869429999904,213.43869429999904,214.43748710000364,214.43748710000364,215.121404599995,c,1,0.6714765000069747,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
-150,z,18,3,75,3,,,,,215.13650740000594,,215.12213350000093,215.13650740000594,216.1368097999948,216.1368097999948,216.1368097999948,216.1368097999948,216.1368097999948,217.13603189999412,217.13603189999412,217.80306619999465,z,1,0.6554749000060838,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
-50,x,19,0,76,0,,,,,217.8182897999941,,217.80381349999516,217.8182897999941,218.81832069999655,218.81832069999655,218.81832069999655,218.81832069999655,218.81832069999655,219.81744060000347,219.81744060000347,220.6007402999967,x,1,0.7671267000114312,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
150,v,19,1,77,1,,,,,220.61667869999656,,220.60157349999645,220.61667869999656,221.61637889999838,221.61637889999838,221.61637889999838,221.61637889999838,221.61637889999838,222.61559190000116,222.61559190000116,223.35021950000373,v,1,0.7328513999964343,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
50,c,19,2,78,2,,,,,223.36511400000018,,223.35112160000426,223.36511400000018,224.36459909999394,224.36459909999394,224.36459909999394,224.36459909999394,224.36459909999394,225.3638326999935,225.3638326999935,226.11394999999902,c,1,0.7346369000006234,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
-150,z,19,3,79,3,,,,,226.12960929999826,,226.11468090000562,226.12960929999826,227.11305990000255,227.11305990000255,227.11305990000255,227.11305990000255,227.12966950000555,228.12851239999873,228.12851239999873,228.87996449999628,z,1,0.7415027000097325,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
-50,x,20,0,80,0,,,,,228.89511969999876,,228.88112679999904,228.89511969999876,229.89479089999804,229.89479089999804,229.89479089999804,229.89479089999804,229.89479089999804,230.8938610000041,230.8938610000041,231.6604318000027,x,1,0.7503705999988597,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
150,v,20,1,81,1,,,,,231.67596870000125,,231.66119400000025,231.67596870000125,232.6594968999998,232.6594968999998,232.6594968999998,232.6594968999998,232.67616230000567,233.675158500002,233.675158500002,234.37626309999905,v,1,0.6945580000028713,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
50,c,20,2,82,2,,,,,234.39179009999498,,234.37745630000427,234.39179009999498,235.39133270000457,235.39133270000457,235.39133270000457,235.39133270000457,235.39133270000457,236.38979689999542,236.38979689999542,237.25691290000395,c,1,0.8520748000009917,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
-150,z,20,3,83,3,,,,,237.27288879999833,,237.25770499999635,237.27288879999833,238.27240729999903,238.27240729999903,238.27240729999903,238.27240729999903,238.27240729999903,239.27160079999885,239.27160079999885,240.00529889999598,z,1,0.7202819999947678,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
-50,x,21,0,84,0,,,,,240.0206407000078,,240.00612220000767,240.0206407000078,241.0208058999997,241.0208058999997,241.0208058999997,241.0208058999997,241.0208058999997,242.02008159999968,242.02008159999968,242.82103340000322,x,1,0.7997849999956088,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
150,v,21,1,85,1,,,,,242.83590770000592,,242.82181259999925,242.83590770000592,243.8354551999946,243.8354551999946,243.8354551999946,243.8354551999946,243.8354551999946,244.8347677999991,244.8347677999991,245.55265189999773,v,1,0.7021263999922667,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
50,c,21,2,86,2,,,,,245.56761260000349,,245.55371639999794,245.56761260000349,246.56725649999862,246.56725649999862,246.56725649999862,246.56725649999862,246.56725649999862,247.56624759999977,247.56624759999977,248.1833081000077,c,1,0.6088549999985844,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
-150,z,21,3,87,3,,,,,248.19906519999495,,248.18403540000145,248.19906519999495,249.1827045999962,249.1827045999962,249.1827045999962,249.1827045999962,249.19874870000058,250.19803800000227,250.19803800000227,250.9484431000019,z,1,0.7453611999953864,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
