trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
48,0,48,0,89.36586610000813,,89.35369500002707,89.36586610000813,90.36550260000513,90.36550260000513,90.85202080002637,up,0,0.48244129997328855,None,-1,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
49,0,49,0,90.86537310000858,,90.85315560002346,90.86537310000858,91.86433260000194,91.86433260000194,92.55011730000842,up,1,0.6729660000128206,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
50,0,50,0,92.56369520002045,,92.55129709999892,92.56369520002045,93.56350460002432,93.56350460002432,94.14978350000456,up,1,0.5745086999959312,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
51,0,51,0,94.16301660001045,,94.15095010001096,94.16301660001045,95.16234640000039,95.16234640000039,96.41467769999872,down,0,1.2419920999964233,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
52,0,52,0,96.42837330000475,,96.41597739999997,96.42837330000475,97.42791980001493,97.42791980001493,98.17895950001548,down,1,0.7411668999993708,None,-5,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
53,0,53,0,98.19363200000953,,98.17995940000401,98.19363200000953,99.19314430002123,99.19314430002123,99.86216889999923,down,1,0.6637747999920975,None,3,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
54,0,54,0,99.87639100002707,,99.86317190001137,99.87639100002707,100.87529260001611,100.87529260001611,101.3445381000056,up,1,0.4587046999949962,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
55,0,55,0,101.35826950002229,,101.34565290002502,101.35826950002229,102.35756170001696,102.35756170001696,102.89362400001846,up,1,0.5306480000144802,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
56,0,56,0,102.90774890000466,,102.89481590001378,102.90774890000466,103.90704820002429,103.90704820002429,104.42866180001874,up,1,0.5151936000038404,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
57,0,57,0,104.44007500002044,,104.42974490000051,104.44007500002044,105.43900790001499,105.43900790001499,105.90950610002619,up,0,0.4680487000150606,None,-1,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
58,0,58,0,105.92253150002216,,105.91057680000085,105.92253150002216,106.92147990001831,106.92147990001831,107.65758790000109,down,0,0.7260084000008646,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
59,0,59,0,107.67114730001776,,107.65881350002019,107.67114730001776,108.67068520002067,108.67068520002067,109.28929880002397,down,1,0.6071498000237625,None,4,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
60,0,60,0,109.30360610000207,,109.29049020001548,109.30360610000207,110.30266929999925,110.30266929999925,110.88950130000012,up,0,0.5804613999789581,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
61,0,61,0,110.90266040002462,,110.89071289999993,110.90266040002462,111.90171600002213,111.90171600002213,112.437479300017,up,1,0.5203633999917656,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
62,0,62,0,112.45196960002067,,112.43854410000495,112.45196960002067,113.4505988000019,113.4505988000019,114.05410000000848,up,1,0.5985691999958362,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
63,0,63,0,114.06695350000518,,114.05523150000954,114.06695350000518,115.06665700001759,115.06665700001759,115.80388220000896,down,1,0.7326583999965806,None,-4,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
64,0,64,0,115.8157408000261,,115.8050924000272,115.8157408000261,116.81531760000507,116.81531760000507,117.38614500002586,up,1,0.5688288999954239,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
65,0,65,0,117.39811440001358,,117.38745150002069,117.39811440001358,118.39779860002454,118.39779860002454,119.05031020002207,up,1,0.6374155000085011,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
66,0,66,0,119.06407130000298,,119.05147100001341,119.06407130000298,120.0632309000066,120.0632309000066,120.80068470002152,up,1,0.7251483000000007,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
67,0,67,0,120.81335670000408,,120.80170960002579,120.81335670000408,121.81244760000845,121.82860850001452,122.24967879999895,up,1,0.42150389999733306,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
68,0,68,0,122.26229350001086,,122.25101250002626,122.26229350001086,123.26101180000114,123.26101180000114,124.0304270000197,down,1,0.7657711999781895,None,2,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
69,0,69,0,124.044076900027,,124.0314213000238,124.044076900027,125.04351950000273,125.04351950000273,125.69566430000123,down,1,0.6461886999895796,None,2,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
70,0,70,0,125.70980979999877,,125.69688410000526,125.70980979999877,126.70903790000011,126.70903790000011,127.37963710000622,up,1,0.6693187000055332,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
71,0,71,0,127.39212540001608,,127.38093560002744,127.39212540001608,128.39119640001445,128.39119640001445,129.34351150001748,up,1,0.9441359000047669,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
72,0,72,0,129.35742150002625,,129.3445598000253,129.35742150002625,130.35671200000797,130.35671200000797,131.32918790000258,up,1,0.9586967999930494,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
73,0,73,0,131.34048730001086,,131.3310740000161,131.34048730001086,132.33918730000732,132.35494910000125,133.04119910000009,down,1,0.6866783000004943,None,-5,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
74,0,74,0,133.05527150002308,,133.04241130000446,133.05527150002308,134.05563090002397,134.05563090002397,134.97366960000363,up,1,0.9076952000032179,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
75,0,75,0,134.98812930000713,,134.9747077000211,134.98812930000713,135.9866893000144,136.0029624000017,136.68870450000395,up,1,0.6879050999996252,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
76,0,76,0,136.7027136000106,,136.6899318000069,136.7027136000106,137.70193740000832,137.70193740000832,138.38803510001162,up,1,0.6704989999998361,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
77,0,77,0,138.4015008000133,,138.38948550002533,138.4015008000133,139.4009024000261,139.4009024000261,140.0203962000087,up,1,0.6095352999982424,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
78,0,78,0,140.03386490000412,,140.02159880002728,140.03386490000412,141.03327939999872,141.03327939999872,141.46943660001853,up,1,0.4322741999931168,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
