stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
20,1,20.0,20.625964400009252,,20.611058700014837,20.625964400009252,21.125919300015084,21.125919300015084,21.125919300015084,21.42472439998528,21.542812199972104,right,20.0,0,0,0.40814250003313646,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
21,1,20.0,21.557928299997002,,21.54288030002499,21.557928299997002,22.058021800010465,22.058021800010465,22.058021800010465,22.358360300015192,22.458152999985032,left,-20.0,0,0,0.3904416000004858,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
22,1,20.0,22.47448670002632,,22.458255400008056,22.47448670002632,22.959652799996547,22.959652799996547,22.974308100005146,23.27465159998974,23.408486299973447,left,-20.0,0,0,0.435878100048285,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
23,1,20.0,23.423956700018607,,23.408571299980395,23.423956700018607,23.924229500000365,23.924229500000365,23.924229500000365,24.224711899994873,24.408346500014886,right,20.0,0,0,0.47841519996291026,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
24,1,20.0,24.423533599998336,,24.40844389999984,24.423533599998336,24.906896099972073,24.906896099972073,24.923054300015792,25.205940500018187,25.50632470002165,right,20.0,0,0,0.5833589000394568,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
25,1,20.0,25.52251119998982,,25.506394399970304,25.52251119998982,26.00616579997586,26.00616579997586,26.022631799976807,26.30492680001771,26.407053700007964,right,20.0,0,0,0.3977735999505967,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
26,1,20.0,26.42193790001329,,26.407136299996637,26.42193790001329,26.922317399992608,26.922317399992608,26.922317399992608,27.221726400020998,27.35797279997496,left,-20.0,0,0,0.4322425999562256,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
27,1,20.0,27.371735099994112,,27.358042099978775,27.371735099994112,27.87134569999762,27.87134569999762,27.87134569999762,28.170710899983533,28.322076499985997,left,-20.0,0,0,0.43574280000757426,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
28,1,20.0,28.33773879997898,,28.32216250000056,28.33773879997898,28.836882899980992,28.836882899980992,28.836882899980992,29.137115099991206,29.304879600007553,right,20.0,0,0,0.4517623000429012,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
29,1,20.0,29.320157599984668,,29.30495780002093,29.320157599984668,29.8205543999793,29.8205543999793,29.8205543999793,30.120976499980316,30.387059799977578,right,20.0,0,0,0.5583460000343621,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
30,1,20.0,30.403127199970186,,30.387134000018705,30.403127199970186,30.902501499978825,30.902501499978825,30.902501499978825,31.20324800000526,31.419655099976808,left,-20.0,0,0,0.5119635000010021,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
31,1,20.0,31.435763699992094,,31.41996480000671,31.435763699992094,31.919754099973943,31.919754099973943,31.935736000014003,32.23629349999828,32.41949260002002,left,-20.0,0,0,0.48624429997289553,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
32,1,20.0,32.43496609997237,,32.419566399999894,32.43496609997237,32.917840700014494,32.917840700014494,32.93472810002277,33.21781200001715,33.55130290001398,left,-20.0,0,0,0.6202158000087366,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
33,1,20.0,33.567725499975495,,33.55137569998624,33.567725499975495,34.066849900002126,34.066849900002126,34.066849900002126,34.36788069998147,34.701117800024804,left,-20.0,0,0,0.6205060000065714,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
34,1,20.0,34.71698299999116,,34.701186800026335,34.71698299999116,35.21632419998059,35.21632419998059,35.21632419998059,35.51704339997377,35.66760929999873,left,-20.0,0,0,0.4369330999907106,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
35,1,20.0,35.683148799987976,,35.66769510001177,35.683148799987976,36.18213420000393,36.18213420000393,36.18213420000393,36.48266939999303,36.684004899987485,right,20.0,0,0,0.5008378000347875,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
36,1,20.0,36.699166500009596,,36.68408520001685,36.699166500009596,37.18388440000126,37.18388440000126,37.201454999973066,37.482110299984924,37.59957119997125,left,-20.0,0,0,0.41266269999323413,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
37,1,20.0,37.61531159997685,,37.599639699968975,37.61531159997685,38.11433609999949,38.11433609999949,38.11433609999949,38.41501469997456,38.48275169997942,right,20.0,0,0,0.3587768000434153,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
38,1,20.0,38.498457800014876,,38.482844799989834,38.498457800014876,38.99829800002044,38.99829800002044,38.99829800002044,39.29727300000377,39.41458659997443,left,-20.0,1,1,0.40856289997464046,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
39,1,20.0,39.43112079997081,,39.414648699981626,39.43112079997081,39.93076580000343,39.93076580000343,39.93076580000343,40.246831899974495,40.39793999999529,left,-20.0,0,0,0.46034099999815226,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
40,1,20.0,40.41277749999426,,40.398018300009426,40.41277749999426,40.913164099969435,40.913164099969435,40.913164099969435,41.21305229997961,41.264495500014164,left,-20.0,0,0,0.34823589998995885,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
41,1,20.0,41.2787740000058,,41.264568499987945,41.2787740000058,41.77945680002449,41.77945680002449,41.77945680002449,42.07849819998955,42.21333409997169,right,20.0,0,0,0.42308129998855293,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
42,1,20.0,42.22840580000775,,42.21339609997813,42.22840580000775,42.71147749997908,42.71147749997908,42.72924130002502,43.0120837999857,43.33009860001039,left,-20.0,0,0,0.6176051000365987,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
43,1,20.0,43.34427900001174,,43.33017640002072,43.34427900001174,43.845378199999686,43.845378199999686,43.845378199999686,44.161472900013905,44.54554319998715,right,20.0,0,0,0.6931434000143781,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
44,1,20.0,44.56082790001528,,44.54561729996931,44.56082790001528,45.06034239998553,45.06034239998553,45.06034239998553,45.36043770000106,45.611785600020085,left,-20.0,0,0,0.5448828999651596,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
45,1,20.0,45.62712040002225,,45.61185350001324,45.62712040002225,46.12612710002577,46.12612710002577,46.12612710002577,46.42642410000553,46.57701489998726,right,20.0,0,0,0.4378506999928504,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
46,1,20.0,46.59224099997664,,46.5770857000025,46.59224099997664,47.09290519997012,47.09290519997012,47.09290519997012,47.391952299978584,47.509516999998596,left,-20.0,0,0,0.4063062999630347,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
47,1,20.0,47.52547090000007,,47.50983100000303,47.52547090000007,48.00863970001228,48.00863970001228,48.02497470000526,48.3086248000036,48.50943570001982,left,-20.0,1,1,0.4951528999954462,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
